model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,300,0.3,Adam,"[0.4355, 0.0067]","[0.4493, 0.0063]","[0.4547, 0.0062]","[0.389, 0.0073]","[0.3, 0.0022]","[0.4832, 0.0063]","[0.4725, 0.0061]","[0.4705, 0.006]","[0.4663, 0.0072]","[0.25, 0.0017]","[0.138, 0.0012]","[0.2011, 0.0014]","[0.2656, 0.0016]","[0.0652, 0.0009]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.001,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,300,0.3,Adam,"[0.4079, 0.0073]","[0.4113, 0.0069]","[0.4159, 0.0066]","[0.4071, 0.0083]","[0.2767, 0.0026]","[0.412, 0.0067]","[0.4227, 0.0064]","[0.4346, 0.0062]","[0.4035, 0.0075]","[0.2222, 0.0019]","[0.1102, 0.0012]","[0.1721, 0.0015]","[0.2388, 0.0017]","[0.0534, 0.0009]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,300,0.3,Adam,"[0.4983, 0.007]","[0.4978, 0.0065]","[0.4958, 0.0063]","[0.4802, 0.0081]","[0.3289, 0.0023]","[0.501, 0.0062]","[0.4938, 0.0059]","[0.4874, 0.0058]","[0.5072, 0.0072]","[0.2641, 0.0018]","[0.1466, 0.0013]","[0.2163, 0.0016]","[0.2827, 0.0017]","[0.0727, 0.001]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.001,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,300,0.3,Adam,"[0.8695, 0.0044]","[0.8497, 0.0044]","[0.8324, 0.0045]","[0.8928, 0.0047]","[0.5876, 0.0027]","[0.8298, 0.0048]","[0.798, 0.0051]","[0.7653, 0.0053]","[0.8715, 0.0048]","[0.465, 0.003]","[0.2807, 0.0027]","[0.3954, 0.0033]","[0.4948, 0.0035]","[0.1515, 0.0018]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.001,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.0001,300,0.3,Adam,"[0.8176, 0.0051]","[0.805, 0.0049]","[0.792, 0.0048]","[0.8311, 0.0059]","[0.5605, 0.0026]","[0.794, 0.005]","[0.7705, 0.0049]","[0.7396, 0.0051]","[0.8198, 0.0054]","[0.448, 0.0031]","[0.2662, 0.0026]","[0.3826, 0.0033]","[0.4806, 0.0036]","[0.1399, 0.0017]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.0005,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.001,300,0.3,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.01,1.0,,0.0001,300,0.3,Adam,"[0.7154, 0.0059]","[0.7047, 0.0055]","[0.6941, 0.0053]","[0.7278, 0.007]","[0.486, 0.0024]","[0.6947, 0.0054]","[0.6752, 0.0052]","[0.6535, 0.0051]","[0.716, 0.0062]","[0.3864, 0.0026]","[0.2268, 0.0022]","[0.3275, 0.0028]","[0.4173, 0.0031]","[0.1177, 0.0014]"
